test,mask,gbps
mov_32x6,256,296.567839
mov_32x6,512,290.364208
mov_32x6,1024,288.515283
mov_32x6,2048,285.013852
mov_32x6,4096,279.730281
mov_32x6,8192,276.502588
mov_32x6,16384,279.267027
mov_32x6,32768,280.900296
mov_32x6,65536,148.609180
mov_32x6,131072,148.336711
mov_32x6,262144,147.764402
mov_32x6,524288,147.951980
mov_32x6,1048576,122.038780
mov_32x6,2097152,123.779605
mov_32x6,4194304,125.525418
mov_32x6,8388608,125.104082
mov_32x6,16777216,118.962374
mov_32x6,33554432,117.134002
mov_32x6,67108864,106.723010
mov_32x6,134217728,81.423511
mov_32x6,268435456,60.888384
mov_32x6,536870912,43.965903
mov_32x4,128,289.244658
mov_32x4,256,287.497506
mov_32x4,512,287.990980
mov_32x4,1024,288.361367
mov_32x4,2048,287.404961
mov_32x4,4096,280.503173
mov_32x4,8192,276.998903
mov_32x4,16384,274.624707
mov_32x4,32768,273.814833
mov_32x4,65536,146.746116
mov_32x4,131072,146.688426
mov_32x4,262144,146.800188
mov_32x4,524288,146.611003
mov_32x4,1048576,120.916095
mov_32x4,2097152,124.008165
mov_32x4,4194304,123.895391
mov_32x4,8388608,124.080023
mov_32x4,16777216,117.091346
mov_32x4,33554432,115.673104
mov_32x4,67108864,105.244744
mov_32x4,134217728,81.121189
mov_32x4,268435456,60.147604
mov_32x4,536870912,44.249243
mov_32x6,256,296.567839
mov_32x6,512,290.364208
mov_32x6,1024,288.515283
mov_32x6,2048,285.013852
mov_32x6,4096,279.730281
mov_32x6,8192,277.455426
mov_32x6,16384,279.267027
